id,name
531,Pan Australia
532,Delcourt
533,Orchard Books (NY)
534,Mayfield Publishing Company (NY)
535,VIZ Media LLC
536,Palgrave Macmillan
537,MIT Press (Cambridge  MA)
538,Severn House
539,Fellowship for the Performance
540,Warner Adult
541,Hamish Hamilton Ltd
542,Longmeadow Press
543,Bantam Classics
544,Crown Publishing Group (NY)
545,Tachyon Publications
546,Pocket Star Books
547,Hartorch
548,Random House (Vintage)
549,Banner of Truth
550,Blackstone Audiobooks
551,Allyn & Bacon
552,Deadite Press (Eraserhead Press)
553,Voyager
554,Simple Productions
555,Random House Puzzles & Games
556,Icon Books
557,Konemann
558,Cisne
559,Pocket Books/Star Trek
560,Sholom Aleichem Family Publications
561,Serpent's Tail
562,Doubleday Canada
563,Sumach Press
564,Little  Brown and Company
565,Rider
566,Dragon Door Publications
567,Taschen
568,Oxford University Press
569,Millipede Press
570,Turtleback Books
571,Running Press Book Publishers
572,Fawcett Books
573,Multnomah Books
574,Moyer Bell and its subsidiaries
575,Claassen Verlag
576,Subterranean Press
577,Potomac Books
578,Random house
579,Booket
580,Wiley-Blackwell
581,Shadow Mountain
582,ビブロス
583,Plexus Publishing Ltd
584,Patmos
585,Time Warner Paperbacks
586,Norton and Co.
587,Amistad
588,Abraham Guillen Press
589,Beltz und Gelberg
590,Jessica Kingsley Publishers
591,Providence Forum Press
592,Prentice Hall/Library of Liberal Arts
593,Allworth
594,Harper & Row
595,McGraw-Hill Companies
596,Samhain Publishing
597,Vertigo
598,De Boekerij
599,Harlequin Presents
600,DK
601,BBC Audiobooks Ltd
602,EOS
603,Arlington House
604,Haymarket Books
605,Doubleday Publishing (NY)
606,Harlequin
607,ACE
608,Tom Doherty Associates/Orb Books
609,Rockport Publishers
610,HarperSanFrancisco
611,Two Plus Two Publishing LLC
612,Kessinger Publishing
613,Cherry Lane Music Company
614,Circlet Press
615,Minnesota Historical Society Press
616,Seven Stories Press
617,Wheeler Publishing
618,Fireside
619,角川書店 (Kadokawa Shoten)
620,Marvel Comics Group
621,Harvard Common Press
622,Howard University Press
623,Knopf Doubleday Publishing Group
624,Fantagraphics Books
625,Virago
626,Barefoot Books
627,Sage Publications Ltd
628,Audio Partners
629,Gallery / Saga Press
630,Condor Books
631,Bedford/St. Martin's
632,Chaosium
633,Planeta Publishing
634,Mira
635,Basil Blackwell (Cambridge  MA/Oxford)
636,Collins Reference
637,Cengage Learning
638,Dr. Master Productions Inc.
639,Semiotext(e)
640,DC Comics
641,W.W. Norton & Company  Inc. (NY)
642,Grupo Océano
643,Actes Sud
644,Ediciones Glénat España
645,Prentice Hall PTR
646,Abstract Studio
647,Fulcrum Publishing
648,Vertigo (DC Comics)
649,University of Toronto Press
650,Hodder and Stoughton
651,Scholastic Paperbacks
652,Thames & Hudson Ltd
653,Focal Press
654,Crossway Books
655,Hodder & Stoughton Ltd
656,Vintage Espanol
657,Marshall Cavendish Editions
658,Hyperio
659,Clarity Press
660,Paris Press
661,Knowledge Products
662,Bloomsbury UK
663,HarperCollinsPublishers
664,Huntington House Publishers
665,Diogenes
666,Collins Modern Classics
667,Lucas Books
668,Artisan
669,Siloam
670,Random House Audio Publishing Group
671,Vertical
672,Academy Chicago Publishers
673,Corgi Books (Adult)
674,Dell
675,Picador USA
676,CQ Press
677,Martínez Roca
678,George Braziller Inc.
679,Rebel Press
680,Worth Publishers
681,Microsoft Press
682,Gallopade International
683,Dover Publications (NYC)
684,Salani
685,Grove Weidenfeld
686,Ecco Press
687,Bastei Lübbe
